2024-06-03 16:27:03,452 Best: 0.668002 using {'batch_size': 64, 'lr': 0.02, 'max_epochs': 32, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-06-03 16:27:03,452 Best estimator configuration: 
 <class 'skorch.classifier.NeuralNetClassifier'>[initialized](
  module_=Module3Layers(
    (act): Tanh()
    (dense0): Linear(in_features=23, out_features=16, bias=True)
    (dense1): Linear(in_features=16, out_features=16, bias=True)
    (dense2): Linear(in_features=16, out_features=16, bias=True)
    (output): Linear(in_features=16, out_features=1, bias=True)
    (sigmoid): Sigmoid()
  ),
)
2024-06-03 16:27:03,457 0.578108 (0.062178) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 23, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-06-03 16:27:03,457 0.657742 (0.063626) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-06-03 16:27:03,457 0.640732 (0.046696) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-06-03 16:27:03,457 0.659802 (0.062925) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-06-03 16:27:03,457 0.639054 (0.057589) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-06-03 16:27:03,457 0.655873 (0.063027) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-06-03 16:27:03,457 0.618192 (0.046802) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-06-03 16:27:03,457 0.659001 (0.063362) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-06-03 16:27:03,457 0.604500 (0.036243) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-06-03 16:27:03,457 0.642792 (0.046429) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-06-03 16:27:03,457 0.595233 (0.029474) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 23, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
