2024-05-29 23:24:10,338 Best: 0.908399 using {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,338 Best estimator configuration: 
 <class 'skorch.classifier.NeuralNetClassifier'>[initialized](
  module_=Module1Layer(
    (dense0): Linear(in_features=20, out_features=256, bias=True)
    (act): ReLU()
    (output): Linear(in_features=256, out_features=1, bias=True)
    (sigmoid): Sigmoid()
  ),
)
2024-05-29 23:24:10,343 0.842937 (0.029866) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,343 0.841780 (0.028232) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,343 0.833183 (0.029555) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,343 0.843155 (0.023787) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,343 0.840844 (0.036375) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,343 0.842561 (0.022746) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,343 0.844469 (0.028609) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,343 0.844436 (0.019146) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,343 0.850002 (0.025297) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,343 0.845154 (0.017524) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,343 0.857005 (0.022149) with: {'batch_size': 16, 'lr': 0.001, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,343 0.843217 (0.024876) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,343 0.826994 (0.040153) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,343 0.844781 (0.024571) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,343 0.838841 (0.029294) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,343 0.843811 (0.021690) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,343 0.844500 (0.027155) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,343 0.843873 (0.020425) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.847094 (0.024221) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.844967 (0.018593) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.849126 (0.021538) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.845123 (0.019073) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.845531 (0.022349) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.845186 (0.018083) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.847564 (0.025433) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.845592 (0.017047) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.852971 (0.020186) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.845436 (0.017853) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.858348 (0.017800) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.845186 (0.018294) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.865163 (0.017273) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 32, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.846280 (0.017130) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.853158 (0.017950) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.846499 (0.016811) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.857691 (0.016447) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.846311 (0.017368) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.867510 (0.026325) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.845342 (0.017996) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.882140 (0.022934) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.845811 (0.017883) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.897678 (0.020265) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 64, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.848093 (0.017629) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.856566 (0.017510) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.848812 (0.016545) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.875137 (0.020619) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.848906 (0.017712) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.890301 (0.026108) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.849438 (0.018013) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.890767 (0.018124) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.847531 (0.018797) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.908399 (0.015564) with: {'batch_size': 16, 'lr': 0.01, 'max_epochs': 128, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.845124 (0.020413) with: {'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.841279 (0.025033) with: {'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 16, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.844248 (0.019394) with: {'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.842686 (0.026952) with: {'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 32, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.844780 (0.019121) with: {'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.846500 (0.022575) with: {'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 64, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.844967 (0.018775) with: {'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': Tanh()}
2024-05-29 23:24:10,344 0.848907 (0.019862) with: {'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 128, 'module__nonlin': ReLU()}
2024-05-29 23:24:10,344 0.845749 (0.018522) with: {'batch_size': 16, 'lr': 0.02, 'max_epochs': 16, 'module__n_features': 20, 'module__n_neurons': 256, 'module__nonlin': Tanh()}
